"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes"
"714","LOC111110733","GO:0061630","ubiquitin protein ligase activity",601,46,21.06,6.4e-07,"Molecular Functions",0.0765391014975042
"715","LOC111110978","GO:0003714","transcription corepressor activity",69,7,2.42,0.01037,"Molecular Functions",0.101449275362319
"716","LOC111111143","GO:0005509","calcium ion binding",846,45,29.65,0.00367,"Molecular Functions",0.0531914893617021
"717","LOC111111143","GO:0005509","calcium ion binding",846,45,29.65,0.00367,"Molecular Functions",0.0531914893617021
"718","LOC111111143","GO:0030234","enzyme regulator activity",566,36,19.84,0.00531,"Molecular Functions",0.0636042402826855
"719","LOC111111223","GO:0008013","beta-catenin binding",5,2,0.18,0.01143,"Molecular Functions",0.4
"720","LOC111111223","GO:0008013","beta-catenin binding",5,2,0.18,0.01143,"Molecular Functions",0.4
"721","LOC111111223","GO:0008017","microtubule binding",158,14,5.54,0.00356,"Molecular Functions",0.0886075949367089
"722","LOC111111438","GO:0003735","structural constituent of ribosome",174,23,6.1,4.6e-08,"Molecular Functions",0.132183908045977
"723","LOC111111438","GO:0003735","structural constituent of ribosome",174,23,6.1,4.6e-08,"Molecular Functions",0.132183908045977
"724","LOC111111461","GO:0008191","metalloendopeptidase inhibitor activity",44,6,1.54,0.00412,"Molecular Functions",0.136363636363636
"725","LOC111111461","GO:0008191","metalloendopeptidase inhibitor activity",44,6,1.54,0.00412,"Molecular Functions",0.136363636363636
"726","LOC111111599","GO:0003729","mRNA binding",160,17,5.61,0.00255,"Molecular Functions",0.10625
"727","LOC111111615","GO:0004842","ubiquitin-protein transferase activity",1214,79,42.55,0.00721,"Molecular Functions",0.0650741350906096
"728","LOC111111615","GO:0008270","zinc ion binding",2113,105,74.06,0.00014,"Molecular Functions",0.0496923805016564
"729","LOC111112035","GO:0008137","NADH dehydrogenase (ubiquinone) activity",8,2,0.28,0.02985,"Molecular Functions",0.25
"730","LOC111112113","GO:0008017","microtubule binding",158,14,5.54,0.00356,"Molecular Functions",0.0886075949367089
"731","LOC111112117","GO:0051082","unfolded protein binding",66,7,2.31,0.00818,"Molecular Functions",0.106060606060606
"732","LOC111112121","GO:0008017","microtubule binding",158,14,5.54,0.00356,"Molecular Functions",0.0886075949367089
"733","LOC111112162","GO:0008270","zinc ion binding",2113,105,74.06,0.00014,"Molecular Functions",0.0496923805016564
"734","LOC111112304","GO:0004222","metalloendopeptidase activity",197,15,6.9,0.0041,"Molecular Functions",0.0761421319796954
"735","LOC111112304","GO:0004222","metalloendopeptidase activity",197,15,6.9,0.0041,"Molecular Functions",0.0761421319796954
"736","LOC111112761","GO:0042393","histone binding",71,11,2.49,1.8e-05,"Molecular Functions",0.154929577464789
"737","LOC111112917","GO:0008198","ferrous iron binding",20,3,0.7,0.03134,"Molecular Functions",0.15
"738","LOC111113062","GO:0008270","zinc ion binding",2113,105,74.06,0.00014,"Molecular Functions",0.0496923805016564
"739","LOC111113165","GO:0004222","metalloendopeptidase activity",197,15,6.9,0.0041,"Molecular Functions",0.0761421319796954
"740","LOC111113165","GO:0005509","calcium ion binding",846,45,29.65,0.00367,"Molecular Functions",0.0531914893617021
"741","LOC111113165","GO:0008270","zinc ion binding",2113,105,74.06,0.00014,"Molecular Functions",0.0496923805016564
"742","LOC111113166","GO:0004222","metalloendopeptidase activity",197,15,6.9,0.0041,"Molecular Functions",0.0761421319796954
"743","LOC111113166","GO:0005509","calcium ion binding",846,45,29.65,0.00367,"Molecular Functions",0.0531914893617021
"744","LOC111113166","GO:0008270","zinc ion binding",2113,105,74.06,0.00014,"Molecular Functions",0.0496923805016564
"745","LOC111113296","GO:0008191","metalloendopeptidase inhibitor activity",44,6,1.54,0.00412,"Molecular Functions",0.136363636363636
