"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes"
"240","LOC111126659","GO:0046975","histone methyltransferase activity (H3-K36 specific)",6,1,0.04,0.03707,"Molecular Functions",0.166666666666667
"241","LOC111127225","GO:0003746","translation elongation factor activity",25,2,0.16,0.01066,"Molecular Functions",0.08
"242","LOC111127225","GO:0003746","translation elongation factor activity",25,2,0.16,0.01066,"Molecular Functions",0.08
"243","LOC111127225","GO:0003924","GTPase activity",294,6,1.84,0.01066,"Molecular Functions",0.0204081632653061
"244","LOC111127225","GO:0003924","GTPase activity",294,6,1.84,0.01066,"Molecular Functions",0.0204081632653061
"245","LOC111127225","GO:0005525","GTP binding",407,6,2.55,0.04339,"Molecular Functions",0.0147420147420147
"246","LOC111127289","GO:0005524","ATP binding",1286,15,8.07,0.01478,"Molecular Functions",0.0116640746500778
"247","LOC111127289","GO:0005524","ATP binding",1286,15,8.07,0.01478,"Molecular Functions",0.0116640746500778
"248","LOC111127916","GO:0071253","connexin binding",1,1,0.01,0.00628,"Molecular Functions",1
"249","LOC111128021","GO:0017108","5'-flap endonuclease activity",7,1,0.04,0.04311,"Molecular Functions",0.142857142857143
"250","LOC111128021","GO:0070336","flap-structured DNA binding",3,1,0.02,0.01871,"Molecular Functions",0.333333333333333
"251","LOC111128085","GO:0019894","kinesin binding",8,2,0.05,0.00107,"Molecular Functions",0.25
"252","LOC111128580","GO:0003723","RNA binding",833,21,5.23,0.00153,"Molecular Functions",0.0252100840336134
"253","LOC111128580","GO:0003735","structural constituent of ribosome",174,10,1.09,1.5e-07,"Molecular Functions",0.0574712643678161
"254","LOC111128580","GO:0003735","structural constituent of ribosome",174,10,1.09,1.5e-07,"Molecular Functions",0.0574712643678161
"255","LOC111128838","GO:0005524","ATP binding",1286,15,8.07,0.01478,"Molecular Functions",0.0116640746500778
"256","LOC111129082","GO:0005524","ATP binding",1286,15,8.07,0.01478,"Molecular Functions",0.0116640746500778
"257","LOC111129603","GO:0003950","NAD+ ADP-ribosyltransferase activity",57,2,0.36,0.04984,"Molecular Functions",0.0350877192982456
"258","LOC111129859","GO:0004813","alanine-tRNA ligase activity",2,1,0.01,0.01251,"Molecular Functions",0.5
"259","LOC111129859","GO:0004813","alanine-tRNA ligase activity",2,1,0.01,0.01251,"Molecular Functions",0.5
"260","LOC111129859","GO:0005524","ATP binding",1286,15,8.07,0.01478,"Molecular Functions",0.0116640746500778
"261","LOC111129859","GO:0005524","ATP binding",1286,15,8.07,0.01478,"Molecular Functions",0.0116640746500778
"262","LOC111130081","GO:0120015","intermembrane sterol transfer activity",4,1,0.03,0.02487,"Molecular Functions",0.25
"263","LOC111130138","GO:0005524","ATP binding",1286,15,8.07,0.01478,"Molecular Functions",0.0116640746500778
"264","LOC111131439","GO:0043874","acireductone synthase activity",1,1,0.01,0.00628,"Molecular Functions",1
"265","LOC111131439","GO:0043874","acireductone synthase activity",1,1,0.01,0.00628,"Molecular Functions",1
"266","LOC111131654","GO:0003755","peptidyl-prolyl cis-trans isomerase activity",53,2,0.33,0.04373,"Molecular Functions",0.0377358490566038
"267","LOC111131654","GO:0003755","peptidyl-prolyl cis-trans isomerase activity",53,2,0.33,0.04373,"Molecular Functions",0.0377358490566038
"268","LOC111131654","GO:0005527","macrolide binding",1,1,0.01,0.00628,"Molecular Functions",1
"269","LOC111131805","GO:0005524","ATP binding",1286,15,8.07,0.01478,"Molecular Functions",0.0116640746500778
"270","LOC111131805","GO:0005524","ATP binding",1286,15,8.07,0.01478,"Molecular Functions",0.0116640746500778
